username1,username2,link1,link2,comparison_type,ssim,features2d
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/bzin22/webapp_phase4/index.html,http://www.ironhacks.com/preview/ecottle/webapp_phase4/index.html,maps,42.3,67.7
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/bzin22/webapp_phase4/index.html,http://www.ironhacks.com/preview/gshowal/webapp_phase4/index.html,maps,44.0,74.3
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/bzin22/webapp_phase4/index.html,http://www.ironhacks.com/preview/hihms/webapp_phase4/index.html,maps,30.2,77.7
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/bzin22/webapp_phase4/index.html,http://www.ironhacks.com/preview/jmamaril25/webapp_phase4/index.html,maps,39.9,59.9
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/bzin22/webapp_phase4/index.html,http://www.ironhacks.com/preview/ko68/webapp_phase4/index.html,maps,29.0,73.8
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/bzin22/webapp_phase4/index.html,http://www.ironhacks.com/preview/laurenjank/webapp_phase4/index.html,maps,22.6,75.5
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/bzin22/webapp_phase4/index.html,http://www.ironhacks.com/preview/lennwgs/webapp_phase4/index.html,maps,22.5,60.2
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/bzin22/webapp_phase4/index.html,http://www.ironhacks.com/preview/littlex2015/webapp_phase4/index.html,maps,37.3,100.0
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/bzin22/webapp_phase4/index.html,http://www.ironhacks.com/preview/matson3/webapp_phase4/index.html,maps,39.5,93.0
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/bzin22/webapp_phase4/index.html,http://www.ironhacks.com/preview/nbraunec/webapp_phase4/index.html,maps,42.3,79.1
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/bzin22/webapp_phase4/index.html,http://www.ironhacks.com/preview/noah-curran/webapp_phase4/index.html,maps,40.8,91.0
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/bzin22/webapp_phase4/index.html,http://www.ironhacks.com/preview/viswapurdue/webapp_phase4/index.html,maps,45.9,88.5
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/bzin22/webapp_phase4/index.html,http://www.ironhacks.com/preview/whipplem123/webapp_phase4/index.html,maps,22.2,64.6
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/bzin22/webapp_phase4/index.html,http://www.ironhacks.com/preview/zhao744/webapp_phase4/index.html,maps,24.1,58.5
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/ecottle/webapp_phase4/index.html,http://www.ironhacks.com/preview/gshowal/webapp_phase4/index.html,maps,86.9,73.6
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/ecottle/webapp_phase4/index.html,http://www.ironhacks.com/preview/hihms/webapp_phase4/index.html,maps,42.2,72.0
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/ecottle/webapp_phase4/index.html,http://www.ironhacks.com/preview/jmamaril25/webapp_phase4/index.html,maps,46.5,80.6
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/ecottle/webapp_phase4/index.html,http://www.ironhacks.com/preview/ko68/webapp_phase4/index.html,maps,42.2,86.7
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/ecottle/webapp_phase4/index.html,http://www.ironhacks.com/preview/laurenjank/webapp_phase4/index.html,maps,32.4,85.3
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/ecottle/webapp_phase4/index.html,http://www.ironhacks.com/preview/lennwgs/webapp_phase4/index.html,maps,27.7,69.3
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/ecottle/webapp_phase4/index.html,http://www.ironhacks.com/preview/littlex2015/webapp_phase4/index.html,maps,50.3,74.7
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/ecottle/webapp_phase4/index.html,http://www.ironhacks.com/preview/matson3/webapp_phase4/index.html,maps,51.3,80.0
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/ecottle/webapp_phase4/index.html,http://www.ironhacks.com/preview/nbraunec/webapp_phase4/index.html,maps,59.0,85.4
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/ecottle/webapp_phase4/index.html,http://www.ironhacks.com/preview/noah-curran/webapp_phase4/index.html,maps,58.7,80.9
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/ecottle/webapp_phase4/index.html,http://www.ironhacks.com/preview/viswapurdue/webapp_phase4/index.html,maps,56.1,83.6
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/ecottle/webapp_phase4/index.html,http://www.ironhacks.com/preview/whipplem123/webapp_phase4/index.html,maps,30.1,62.3
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/ecottle/webapp_phase4/index.html,http://www.ironhacks.com/preview/zhao744/webapp_phase4/index.html,maps,31.4,51.0
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/gshowal/webapp_phase4/index.html,http://www.ironhacks.com/preview/hihms/webapp_phase4/index.html,maps,42.0,83.7
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/gshowal/webapp_phase4/index.html,http://www.ironhacks.com/preview/jmamaril25/webapp_phase4/index.html,maps,44.5,78.4
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/gshowal/webapp_phase4/index.html,http://www.ironhacks.com/preview/ko68/webapp_phase4/index.html,maps,39.0,89.3
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/gshowal/webapp_phase4/index.html,http://www.ironhacks.com/preview/laurenjank/webapp_phase4/index.html,maps,34.4,83.8
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/gshowal/webapp_phase4/index.html,http://www.ironhacks.com/preview/lennwgs/webapp_phase4/index.html,maps,16.9,75.9
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/gshowal/webapp_phase4/index.html,http://www.ironhacks.com/preview/littlex2015/webapp_phase4/index.html,maps,51.8,81.9
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/gshowal/webapp_phase4/index.html,http://www.ironhacks.com/preview/matson3/webapp_phase4/index.html,maps,49.0,87.6
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/gshowal/webapp_phase4/index.html,http://www.ironhacks.com/preview/nbraunec/webapp_phase4/index.html,maps,57.5,91.3
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/gshowal/webapp_phase4/index.html,http://www.ironhacks.com/preview/noah-curran/webapp_phase4/index.html,maps,41.5,86.3
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/gshowal/webapp_phase4/index.html,http://www.ironhacks.com/preview/viswapurdue/webapp_phase4/index.html,maps,54.4,91.3
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/gshowal/webapp_phase4/index.html,http://www.ironhacks.com/preview/whipplem123/webapp_phase4/index.html,maps,18.2,100.0
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/gshowal/webapp_phase4/index.html,http://www.ironhacks.com/preview/zhao744/webapp_phase4/index.html,maps,19.0,100.0
www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/hihms/webapp_phase4/index.html,http://www.ironhacks.com/preview/jmamaril25/webapp_phase4/index.html,maps,30.9,80.6
